2026-02-23 14:55:52.122 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 508648:381156 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 14:57:02.020 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 446632:471968 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 14:57:02.020 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 446632:471968 | {'diagnostics': True} - Debug mode: True
2026-02-23 14:57:02.020 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 446632:471968 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 14:58:04.997 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 512864:17320 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 14:58:04.998 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 512864:17320 | {'diagnostics': True} - Debug mode: True
2026-02-23 14:58:04.998 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 512864:17320 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 14:59:15.148 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 529152:286748 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 14:59:15.148 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 529152:286748 | {'diagnostics': True} - Debug mode: True
2026-02-23 14:59:15.148 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 529152:286748 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 14:59:31.347 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 85204:288584 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 14:59:31.347 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 85204:288584 | {'diagnostics': True} - Debug mode: True
2026-02-23 14:59:31.347 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 85204:288584 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 15:01:41.652 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 81524:132268 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 15:01:41.652 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 81524:132268 | {'diagnostics': True} - Debug mode: True
2026-02-23 15:01:41.652 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 81524:132268 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 15:02:00.047 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 513308:528400 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 15:02:00.047 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 513308:528400 | {'diagnostics': True} - Debug mode: True
2026-02-23 15:02:00.047 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 513308:528400 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 15:02:56.117 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 178636:528988 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 15:02:56.117 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 178636:528988 | {'diagnostics': True} - Debug mode: True
2026-02-23 15:02:56.118 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 178636:528988 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 16:02:17.826 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 431668:472128 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 16:02:17.826 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 431668:472128 | {'diagnostics': True} - Debug mode: True
2026-02-23 16:02:17.826 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 431668:472128 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 16:27:46.375 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 288748:245408 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 16:27:46.375 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 288748:245408 | {'diagnostics': True} - Debug mode: True
2026-02-23 16:27:46.375 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 288748:245408 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 17:53:45.493 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 296928:476696 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 17:53:45.495 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 296928:476696 | {'diagnostics': True} - Debug mode: True
2026-02-23 17:53:45.496 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 296928:476696 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 17:56:21.974 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 45400:511304 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 17:56:21.974 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 45400:511304 | {'diagnostics': True} - Debug mode: True
2026-02-23 17:56:21.974 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 45400:511304 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 17:57:04.273 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 284300:505504 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 17:57:04.273 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 284300:505504 | {'diagnostics': True} - Debug mode: True
2026-02-23 17:57:04.273 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 284300:505504 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 17:58:21.418 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 68332:25308 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 17:58:21.418 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 68332:25308 | {'diagnostics': True} - Debug mode: True
2026-02-23 17:58:21.418 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 68332:25308 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 17:58:54.516 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 504436:15288 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 17:58:54.516 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 504436:15288 | {'diagnostics': True} - Debug mode: True
2026-02-23 17:58:54.516 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 504436:15288 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 17:59:30.900 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 504688:78692 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 17:59:30.900 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 504688:78692 | {'diagnostics': True} - Debug mode: True
2026-02-23 17:59:30.900 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 504688:78692 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 17:59:54.488 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 302208:234956 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 17:59:54.488 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 302208:234956 | {'diagnostics': True} - Debug mode: True
2026-02-23 17:59:54.488 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 302208:234956 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 18:00:20.333 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 271504:307532 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 18:00:20.333 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 271504:307532 | {'diagnostics': True} - Debug mode: True
